area,date,average_price,houses_sold,no_of_crimes,median_salary,life_satisfaction,mean_salary,population_size,number_of_jobs,area_size,no_of_houses,density,code
tower hamlets,2018/12/31,446500.4167,270.3333333,2807.416667,49237,7.82,69806,317705,333000,2158,120015,55.6,E09000030
waltham forest,2011/12/31,220905.4167,193.0833333,2146.333333,28005,7.18,31926,259742,71000,3881,98279,25.3,E09000031
waltham forest,2012/12/31,230726.6667,193.75,2036.166667,27235,7.24,30738,262566,77000,3881,98783,25.5,E09000031
waltham forest,2014/12/31,314934.25,297.1666667,1740.916667,26484,7.64,28426,268020,84000,3881,99640,25.7,E09000031
waltham forest,2015/12/31,357513.3333,291.1666667,1803.583333,29352,7.55,30911,271170,86000,3881,100311,25.8,E09000031
waltham forest,2016/12/31,413149.4167,256.1666667,1788.333333,27455,7.67,30172,275843,86000,3881,101284,26.1,E09000031
waltham forest,2017/12/31,436116.5833,232.75,1900.666667,28284,7.73,31049,275505,88000,3881,102317,26.4,E09000031
waltham forest,2018/12/31,440859.4167,234.5,1974.833333,30298,7.46,32875,276700,88000,3881,103029,26.5,E09000031
wandsworth,2011/12/31,386200.0833,437,1942.583333,32033,7.46,38695,307710,125000,3522,134619,38.2,E09000032
wandsworth,2012/12/31,409392.0833,439.75,2178.666667,31262,7.26,35295,308312,136000,3522,135601,38.5,E09000032
wandsworth,2013/12/31,457404,522.0833333,1922.583333,31491,7.43,36917,310516,134000,3522,136558,38.8,E09000032
wandsworth,2014/12/31,544515.0833,505.3333333,1833.25,31085,7.47,35182,312145,134000,3522,137757,39.1,E09000032
wandsworth,2015/12/31,572691.25,494,1936.083333,31968,7.53,37251,314544,144000,3522,138841,39.4,E09000032
wandsworth,2016/12/31,608740.8333,444,2057.5,33405,7.64,37651,316096,146000,3522,141579,40.2,E09000032
wandsworth,2017/12/31,617921.4167,431.5,2110.666667,33137,7.64,40076,323257,151000,3522,143915,40.9,E09000032
wandsworth,2018/12/31,596649.1667,394.25,2154.416667,34501,7.65,45317,326474,147000,3522,146162,41.5,E09000032
westminster,2011/12/31,632513.5833,273.0833333,5529.166667,37406,7.33,54049,219582,674000,2203,118318,53.7,E09000033
westminster,2012/12/31,696926.0833,268.4166667,5303,37649,7,55529,223858,698000,2203,119245,54.1,E09000033
westminster,2013/12/31,789972.5,302.9166667,4643.5,36946,7.53,51094,226841,717000,2203,119837,54.4,E09000033
westminster,2014/12/31,922702.1667,303.3333333,4102.083333,37260,7.45,51099,233292,737000,2203,120367,54.6,E09000033
westminster,2015/12/31,964643,243.8333333,4085.333333,39392,7.6,53316,242299,756000,2203,121116,55,E09000033
westminster,2016/12/31,995543.3333,218.9166667,4184.333333,40000,7.68,53888,247614,765000,2203,122024,55.4,E09000033
westminster,2017/12/31,1064771.5,213.0833333,4768,42152,7.57,59878,244796,754000,2203,123366,56,E09000033
westminster,2018/12/31,1020025.5,174,5259.416667,43015,7.66,63792,255324,775000,2203,124509,56.5,E09000033
